title,price,date,time,link
Teclado Gamer Semi Mecanico Barato Iluminado Rgb Em Ptbr,R$78.90,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-1883364100-teclado-gamer-semi-mecanico-barato-iluminado-rgb-em-ptbr-_JM#position=41&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado C3 Tech Gamer Usb Abnt2 Anti Respingo Teclas Atalho Idioma Português Brasil Cor De Teclado Preto/vermelho,R$32.90,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-c3-tech-gamer-usb-abnt2-anti-respingo-teclas-atalho-idioma-portugus-brasil-cor-de-teclado-pretovermelho/p/MLB22570448?pdp_filters=category:MLB418472#searchVariation=MLB22570448&position=1&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Kit Teclado Mouse Semi Mecânico Rgb Para Jogos Online Gamer,R$78.99,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-1951236308-kit-teclado-mouse-semi-mecnico-rgb-para-jogos-online-gamer-_JM#position=42&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer K-Mex KM-5228 QWERTY português Brasil cor preto com luz RGB,R$39.15,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-k-mex-km-5228-qwerty-portugus-brasil-cor-preto-com-luz-rgb/p/MLB15989498?pdp_filters=category:MLB418472#searchVariation=MLB15989498&position=2&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Redragon Daksa K576R QWERTY Redragon MK2 Brown português Brasil cor branco lunar com luz rainbow,R$210.60,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-daksa-k576r-qwerty-redragon-mk2-brown-portugus-brasil-cor-branco-lunar-com-luz-rainbow/p/MLB18497180?pdp_filters=category:MLB418472#searchVariation=MLB18497180&position=3&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Redragon Gamer Compacto Fizz Rgb Switch Red - Bco,R$205.77,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-redragon-gamer-compacto-fizz-rgb-switch-red-bco/p/MLB22932452?pdp_filters=category:MLB418472#searchVariation=MLB22932452&position=4&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Gamer Mecânico Pc Usb Adamantiun Switch Red Abnt2,R$339.99,09/05/2023,00:39:36,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=cqsSgYCtfEebHdmqMUddOgan2gswwfijVx5I4AYmfulBJXz%2FY0m0jMd2Gnewt%2FhH6KxqtyVlE%2B3eT8eh9IB8WhT3YKemNUePYBKwhAWa3B4nj8CZ9YcUmdevj5B29xQYx9lrmvCrTS4kmyl9zTyEmm33uWsBVuqTymNknH16rMwZHzgRenYC7EGxSKgNwsRlOTqRNHlE5MYhWMY56Tg%2FjHCE0n%2B3RGgIktWrNesVnqH0z%2BiSQZZsq9WglQxYsO4V9P%2Fd4iTQPSj8eJd5jMdoj8mP07z0bo%2Bc4xkPqLVxKsZFm4dlsEYVAy4I2OC45Vk54bGax0q%2FaEHUr7tyfZ%2BkKf45sf22texiZ0vL6y5wimOAGlhlvDHs4UC1pyyEWtMr%2BO7I%2FXnWLyphqNxLydWxA%2Fu0%2FouMn4dVPb7qNTjnyJMXkf%2FFY6tMzfBpvprWwJ0fl7Kp8Wfsflnfbh%2BQrIajzNyRGC7MIcVleg1YdysvMYTYu3jbdaPEeV5M7XmFQ%2B5xNX51sJUliB1JZ0B9LzuFPhSg0CGJF2wwgb3xiLabFSg0zU3znQQWXO8FJexX%2Fk4CPZwExmKuessrZ4BHc5hPI8DkhKGIWB8UAcGz6%2F6eZ4wv5fEkaoX%2BdddBFPsedtRj0RF3TkJ%2BzD6ikGjSBdjJa7h4mvJ1uMHoxnKfwnLx0i11u%2FW5AIHWuzJxk%2FCrX7ua%2F5VZmx8hDr0D&rb=x
Teclado Gamer Pc Jogos Led Usb Abnt2 Anti-ghosting Qwerty,R$267,09/05/2023,00:39:36,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=QB332O%2FCIE5hzI49iDM0PUd37K0OP0gK4ligrme6ZQez8UZWBVCnQXw5yoA2%2BZnJMODw%2B9id38bHEhCHUS7j0dHK4ibkzP7s0ZipXBerCzWFZDWgHuIuSS15CKGo0uE5nzLmX2VJwimKSHzfiIXx%2Fh1YzQXcwH4c%2FC3KaZSXZ%2BvM0N2h%2BtSpcELyr6IS3%2F9cIGIfMxkR8RBLCqDTSHTe%2BJ095SwkrnCtQjP3pNl4%2FL7FF6l7ubVbhEtIpCayq%2BYagb%2Fe%2FI1EuEiX4zEsLIPGEqjXJ8lOL37kGjC63e11pyhQsqEPcSMr8%2BVNIn9kgGBBT8NJa2%2B2EOJDBtNmCXo3kLZbX%2FJ6EHPEHn7DcxJDiwShLJqpDvmKoB0%2BTVumWLXwibBfEhgSVvS4hoRwAAfxeHTRFIpRznPHRpgQsB4tucKaY8M1ItH4IlyovhyNxa9MP76wVVeQfBHmpPHQu79StInK24xwcy9BYJfH3v7rWwPhrMvPHcUy4h2XBk5qsasjaMb9KlDS65lbR0WhSNvbUHLzExsfptxjaKAr0I15Uf%2Fru8ZknW4bR2b9C%2BI3t8G45vQhMq0sgnTqL3Rn9aDYa6R9OsQXr6mAIchrmttbCQMBLMHpc83xQgPGytxiObQLimTFBT8UHZc0FkZkTQHZw%2BXaFWC5RVrqz66mHJv9L8f7dnhAZwHUoYJlrgiP6Sd5%2BaPooN9LGMWuvaiz&rb=x
Teclado Gamer Luminoso Abnt2 Usb Semi Mecânico Leds Rgb Gk41,R$95,09/05/2023,00:39:36,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=O60P7R9jZyXwCpzEXKNY1APinXShAjOW%2FoUdjyX4RQB1raCevfwaH04mrD2TsUxdmjQwfVW6yE30%2Fq3g0WTguj35wda7XPZWZIcy%2F0%2Fw98FbMySjrOM%2F1grNOQZYpz%2Fw1O7uIv7BfkkV%2BWIsL77xTuD21vHligQvYmP97k91CWzE9zrU9E2LBAdje39ZPdzJ2z0F7Qht1umePjiQHLkzoAukGSxH3GfuAUzcDwm4Qh6U9DsJ9lAwo2cuWtbN5c2TU0rKrTbGEMzmSy%2FnC1%2FYTKdg2MQE%2Bm3GFpaH1BxE2quD%2BLQQlolQSBGEecFigaDs9lPv%2Boa%2F9XYyodmzGtMGVFuth3cAvhbfhk7L%2FcnbCuX7oB5WkrNcLwY4ZyNV8s4Qp3A6uVodx6wCCLKWInMSqGlbhB%2Bdl31NRWj9%2F%2F0Qbh4F5A2laRUWYYcmwSHgGiSICp5KIqsZMsRaF4D4nZkIqP4i66CeG0Zj2fNUw5CvqyT2F%2BvigD3%2Fq%2FyhQRXL9JRU8jkwbye4sNI3al8INfnEKJDIiNDhADBf4kzMuGYM62%2B8lw40vp85VApgvcS8lK0hNBe9LsK%2FgE6Ejke5oe7lm1psQ3sX4C7ISdRgN%2BKhWPjHMYDUwQMT8XGcFcUaxvXmexcLZYdo6ITjIe%2FXrH0KOiwji%2B6eLiNEw7oaEjkOx19gKAYX7aAtBOCebH5Q2Tzj0dG%2FAiZ1onY%2F1sx4&rb=x
Teclado gamer Evolut EG-206RB QWERTY português Brasil cor preto com luz rainbow,R$52,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-evolut-eg-206rb-qwerty-portugus-brasil-cor-preto-com-luz-rainbow/p/MLB16084759?pdp_filters=category:MLB418472#searchVariation=MLB16084759&position=5&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
